service_id,date,exception_type
52,20120216,2
52,20120217,1
52,20120218,2
52,20120219,2
52,20120220,2
52,20120221,2
52,20120222,2
52,20120223,2
52,20120224,1
52,20120225,2
52,20120226,2
52,20120227,2
52,20120228,2
52,20120229,2
52,20120301,2
52,20120302,1
52,20120303,2
52,20120304,2
52,20120305,2
52,20120306,2
52,20120307,2
52,20120308,2
52,20120309,1
52,20120310,2
52,20120311,2
52,20120312,2
52,20120313,2
52,20120314,2
52,20120315,2
52,20120316,1
52,20120317,2
52,20120318,2
52,20120319,2
52,20120320,2
52,20120321,2
52,20120322,2
52,20120323,1
52,20120324,2
52,20120325,2
52,20120326,2
52,20120327,2
52,20120328,2
52,20120329,2
52,20120330,1
53,20120102,1
53,20120103,1
53,20120104,1
53,20120105,1
53,20120106,2
53,20120107,2
53,20120108,2
53,20120109,1
53,20120110,1
53,20120111,1
53,20120112,1
53,20120113,2
53,20120114,2
53,20120115,2
53,20120116,1
53,20120117,1
53,20120118,1
53,20120119,1
53,20120120,2
53,20120121,2
53,20120122,2
53,20120123,1
53,20120124,1
53,20120125,1
53,20120126,1
53,20120127,2
53,20120128,2
53,20120129,2
53,20120130,1
53,20120131,1
53,20120201,1
53,20120202,1
53,20120203,2
53,20120204,2
53,20120205,2
53,20120206,1
53,20120207,1
53,20120208,1
53,20120209,1
53,20120210,2
53,20120211,2
53,20120212,2
53,20120213,1
53,20120214,1
53,20120215,1
53,20120216,1
53,20120217,2
53,20120218,2
53,20120219,2
53,20120220,1
53,20120221,1
53,20120222,1
53,20120223,1
53,20120224,2
53,20120225,2
53,20120226,2
53,20120227,1
53,20120228,1
53,20120229,1
53,20120301,1
53,20120302,2
53,20120303,2
53,20120304,2
53,20120305,1
53,20120306,1
53,20120307,1
53,20120308,1
53,20120309,2
53,20120310,2
53,20120311,2
53,20120312,1
53,20120313,1
53,20120314,1
53,20120315,1
53,20120316,2
53,20120317,2
53,20120318,2
53,20120319,1
53,20120320,1
53,20120321,1
53,20120322,1
53,20120323,2
53,20120324,2
53,20120325,2
53,20120326,1
53,20120327,1
53,20120328,1
53,20120329,1
53,20120330,2
54,20120102,1
54,20120103,1
54,20120104,1
54,20120105,1
54,20120106,1
