route_id,route_short_name,route_long_name,route_type
1000,1, ,3
1002,2, ,3
1004,3, ,3
1005,4, ,3
1007,6, ,3
1008,7, ,3
1009,27, ,3
1010,29, ,3
1011,8, ,3
1012,9, ,3
1013,10, ,3
1014,11, ,3
1015,28, ,3
1016,31, ,3
1017,33, ,3
1018,34, ,3
1019,36, ,3
1020,38, ,3
1021,37, ,3
1022,41, ,3
1024,75, ,3
1025,75, ,3
1027,24, ,3
1028,25, ,3
1029,26, ,3
1030,X30, ,3
1031,X40, ,3
1032,X50, ,3
1033,X60, ,3
1036,X71, ,3
1037,X73, ,3
1038,X74, ,3
1039,X76, ,3
1040,X77, ,3
1041,66, ,3
1042,67, ,3
1043,X35, ,3
1302,N81, ,3
1303,N82, ,3
1304,N83, ,3
1305,N84, ,3
1306,N85, ,3
1307,N86, ,3
1308,N87, ,3
1309,N88, ,3
1310,N89, ,3
2000,1, ,3
2001,2, ,3
2002,3, ,3
2003,14, ,3
2004,13, ,3
2005,15, ,3
2006,16, ,3
2007,17, ,3
2008,18, ,3
2010,21, ,3
2011,22, ,3
2012,23, ,3
2013,45, ,3
2014,46, ,3
2015,47, ,3
2016,48, ,3
2017,50, ,3
2018,53, ,3
2019,52, ,3
2020,54, ,3
2021,56, ,3
2022,57, ,3
2023,58, ,3
2024,59, ,3
2025,62, ,3
2028,89, ,3
2029,93, ,3
2030,85, ,3
2031,99, ,3
2032,87, ,3
2033,98, ,3
2034,96, ,3
2035,92, ,3
2040,E90, ,3
2042,X79, ,3
2043,X39, ,3
2044,X44, ,3
2304,N94, ,3
2305,N95, ,3
2306,N96, ,3
3000,1, ,3
3001,2, ,3
3005,5, ,3
3008,7, ,3
3009,8, ,3
3010,9, ,3
3011,10, ,3
3022,21, ,3
3025,23, ,3
3026,24, ,3
3029,26, ,3
3034,31, ,3
3037,32, ,3
3038,33, ,3
3043,38, ,3
3047,41, ,3
3048,42, ,3
3049,43, ,3
3050,44, ,3
3051,45, ,3
3052,46, ,3
3060,51, ,3
3061,52, ,3
3070,55, ,3
3073,58, ,3
3074,60, ,3
3078,61, ,3
3079,62, ,3
3080,63, ,3
3082,65, ,3
3084,67, ,3
3085,68, ,3
3200,N81, ,3
3202,N83, ,3
3203,N84, ,3
3205,N85, ,3
3206,N86, ,3
3208,N88, ,3
