stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
11020561,Mor Aases vei,11020561,58.831536,5.713771,http://gt.rkt.no/H11020561
11020565,Statoil vest,11020565,58.891869,5.706683,http://gt.rkt.no/H11020565
11020566,Høgevoll,11020566,58.874240,5.764457,http://gt.rkt.no/H11020566
11020572,Torvmyrå,11020572,58.888398,5.725411,http://gt.rkt.no/H11020572
11020573,Torvmyrå,11020573,58.888259,5.725528,http://gt.rkt.no/H11020573
11270574,Tunge,11270574,59.034150,5.586740,http://gt.rkt.no/H11270574
11270577,Sande,11270577,59.025710,5.590539,http://gt.rkt.no/H11270577
11270578,Sande,11270578,59.025475,5.590493,http://gt.rkt.no/H11270578
11270579,Sandestranden,11270579,59.022887,5.594950,http://gt.rkt.no/H11270579
11270580,Sandestranden,11270580,59.022653,5.594939,http://gt.rkt.no/H11270580
11270582,Randeberggeilen nord,11270582,59.020765,5.596614,http://gt.rkt.no/H11270582
11270585,Randeberggeilen 8,11270585,59.017216,5.603180,http://gt.rkt.no/H11270585
11270588,Randaberggeilen sør,11270588,59.015073,5.602380,http://gt.rkt.no/H11270588
11270591,Sandeveien,11270591,59.015806,5.590579,http://gt.rkt.no/H11270591
11270592,Indre Bø,11270592,59.012722,5.579975,http://gt.rkt.no/H11270592
11270593,Vestre Bø,11270593,59.011624,5.575170,http://gt.rkt.no/H11270593
11270596,Einersvarden,11270596,59.002848,5.572332,http://gt.rkt.no/H11270596
11270598,Bøveien 213,11270598,59.002345,5.578462,http://gt.rkt.no/H11270598
11270604,Mekjarvik kai,11270604,59.023245,5.612530,http://gt.rkt.no/H11270604
11270605,Tungenesveien,11270605,59.012980,5.606525,http://gt.rkt.no/H11270605
11270606,Steinnes,11270606,59.008259,5.612253,http://gt.rkt.no/H11270606
11270608,Randaberg idrettshus,11270608,59.006423,5.618333,http://gt.rkt.no/H11270608
11270609,Randaberg idrettshus,11270609,59.006431,5.618075,http://gt.rkt.no/H11270609
11270610,Harestadhøyden,11270610,59.009263,5.627396,http://gt.rkt.no/H11270610
11270611,Harestadhøyden,11270611,59.009451,5.628060,http://gt.rkt.no/H11270611
11270612,Harestadveien,11270612,59.010745,5.632751,http://gt.rkt.no/H11270612
11270613,Harestadveien,11270613,59.011415,5.634908,http://gt.rkt.no/H11270613
11270614,Harestadvika,11270614,59.012036,5.636976,http://gt.rkt.no/H11270614
11270615,Harestadvika,11270615,59.012046,5.637121,http://gt.rkt.no/H11270615
11270616,Harestad v/E39,11270616,59.012850,5.635637,http://gt.rkt.no/H11270616
11270617,Titanveien,11270617,59.010367,5.644129,http://gt.rkt.no/H11270617
11270618,Skiftesvikveien,11270618,59.011533,5.639021,http://gt.rkt.no/H11270618
11270619,Agatveien,11270619,59.010263,5.647905,http://gt.rkt.no/H11270619
11270620,Agatveien,11270620,59.010245,5.647668,http://gt.rkt.no/H11270620
11270621,Torvmyrveien,11270621,59.008448,5.652343,http://gt.rkt.no/H11270621
11270622,Torvmyrveien,11270622,59.008526,5.652156,http://gt.rkt.no/H11270622
11270623,Hagafjell,11270623,59.006210,5.655098,http://gt.rkt.no/H11270623
11270624,Hagafjell,11270624,59.006175,5.655091,http://gt.rkt.no/H11270624
11270625,Fjellprydveien,11270625,59.002778,5.655601,http://gt.rkt.no/H11270625
11270626,Fjellheimveien,11270626,59.001635,5.655571,http://gt.rkt.no/H11270626
11270627,Ryggveien,11270627,59.001496,5.653255,http://gt.rkt.no/H11270627
11270628,Ryggveien,11270628,59.000906,5.652518,http://gt.rkt.no/H11270628
11270629,Barlindveien,11270629,58.999331,5.653370,http://gt.rkt.no/H11270629
11270630,Randaberg vgs.,11270630,58.997511,5.655325,http://gt.rkt.no/H11270630
11270631,Barlindveien,11270631,58.999015,5.653861,http://gt.rkt.no/H11270631
11270632,Fjellprydveien,11270632,59.002976,5.655686,http://gt.rkt.no/H11270632
11270633,Titanveien,11270633,59.010751,5.642448,http://gt.rkt.no/H11270633
11270635,Austmarka,11270635,58.979851,5.652433,http://gt.rkt.no/H11270635
11270636,Austmarka,11270636,58.979771,5.651442,http://gt.rkt.no/H11270636
11270637,Leikvollbakken,11270637,58.980381,5.657302,http://gt.rkt.no/H11270637
11270638,Leikvollbakken,11270638,58.980518,5.657539,http://gt.rkt.no/H11270638
11270639,Hålandhaugen,11270639,58.979655,5.642398,http://gt.rkt.no/H11270639
11270640,Lyngnes,11270640,58.978993,5.647772,http://gt.rkt.no/H11270640
11270643,Endrestø nord,11270643,58.979929,5.616923,http://gt.rkt.no/H11270643
11270644,Viste strandhotell,11270644,58.987346,5.609790,http://gt.rkt.no/H11270644
11270651,Sørli,11270651,58.993508,5.613436,http://gt.rkt.no/H11270651
11270652,Visteveien 34,11270652,58.989630,5.609218,http://gt.rkt.no/H11270652
11270653,Visteveien 34,11270653,58.989490,5.609150,http://gt.rkt.no/H11270653
11270654,Vistvik,11270654,58.994153,5.573894,http://gt.rkt.no/H11270654
11270656,Vistnes sør,11270656,58.989650,5.572194,http://gt.rkt.no/H11270656
11270657,Vistnesvågen,11270657,58.986586,5.570548,http://gt.rkt.no/H11270657
11270658,Vistnesveien 40,11270658,58.995179,5.605300,http://gt.rkt.no/H11270658
11270660,Visteveien,11270660,58.997208,5.612068,http://gt.rkt.no/H11270660
11270661,Raustien,11270661,58.989085,5.585839,http://gt.rkt.no/H11270661
11270666,Bøveien 246,11270666,59.002609,5.586067,http://gt.rkt.no/H11270666
11270667,Vistvikveien 2,11270667,59.001540,5.595301,http://gt.rkt.no/H11270667
11270668,Bøveien,11270668,59.001697,5.602306,http://gt.rkt.no/H11270668
11270670,Bøveien 66,11270670,59.002928,5.594089,http://gt.rkt.no/H11270670
11270671,Vistvikveien 10,11270671,59.000518,5.591291,http://gt.rkt.no/H11270671
11270673,Randaberg sentrum,11270673,58.999450,5.616643,http://gt.rkt.no/H11270673
11270674,Randaberg komm.hus,11270674,58.999190,5.620900,http://gt.rkt.no/H11270674
11270675,Randaberg komm.hus,11270675,58.999210,5.620296,http://gt.rkt.no/H11270675
11270676,Dalveien,11270676,58.997008,5.628538,http://gt.rkt.no/H11270676
11270677,Dalveien,11270677,58.996624,5.629284,http://gt.rkt.no/H11270677
11270678,Ryggleet,11270678,58.994728,5.638307,http://gt.rkt.no/H11270678
11270679,Ryggleet,11270679,58.994564,5.638370,http://gt.rkt.no/H11270679
11270680,Goaveien,11270680,58.993078,5.644677,http://gt.rkt.no/H11270680
11270681,Goaveien,11270681,58.993565,5.643181,http://gt.rkt.no/H11270681
11270684,Oddahaugen,11270684,59.010658,5.609490,http://gt.rkt.no/H11270684
11270685,Gamle Harestadvei,11270685,59.004405,5.620441,http://gt.rkt.no/H11270685
11270686,Gamle Harestadvei,11270686,59.004316,5.620716,http://gt.rkt.no/H11270686
11270687,Gjertrudmyr,11270687,59.008235,5.623215,http://gt.rkt.no/H11270687
11270688,Gjertrudmyr,11270688,59.007923,5.621825,http://gt.rkt.no/H11270688
11270689,Visteveien 11,11270689,58.995560,5.612989,http://gt.rkt.no/H11270689
11270690,Visteveien 11,11270690,58.995821,5.613051,http://gt.rkt.no/H11270690
11270692,Vistnesveien 68,11270692,58.992373,5.598419,http://gt.rkt.no/H11270692
11270695,Vistnesveien 107,11270695,58.991004,5.593190,http://gt.rkt.no/H11270695
11270697,Vistnesveien 173,11270697,58.988449,5.577073,http://gt.rkt.no/H11270697
11270699,Slåttå,11270699,58.982856,5.635433,http://gt.rkt.no/H11270699
11270700,Randaberg vgs.,11270700,58.997303,5.655750,http://gt.rkt.no/H11270700
11270701,Slåttå,11270701,58.982456,5.636093,http://gt.rkt.no/H11270701
11270702,Endrestø,11270702,58.977025,5.613419,http://gt.rkt.no/H11270702
11270703,Viste strandhotell,11270703,58.987193,5.610131,http://gt.rkt.no/H11270703
11270705,Harestad v/E39,11270705,59.011403,5.635990,http://gt.rkt.no/H11270705
11240709,Jåsund,11240709,58.952878,5.606048,http://gt.rkt.no/H11240709
11240710,Jåsund,11240710,58.952708,5.605595,http://gt.rkt.no/H11240710
11240711,Myklebustveien,11240711,58.949775,5.601550,http://gt.rkt.no/H11240711
11240712,Myklebust,11240712,58.950138,5.602145,http://gt.rkt.no/H11240712
11240713,Mæland,11240713,58.944296,5.597783,http://gt.rkt.no/H11240713
11240714,Mæland,11240714,58.944188,5.597670,http://gt.rkt.no/H11240714
11240715,Storemyr,11240715,58.943071,5.587636,http://gt.rkt.no/H11240715
11240716,Storemyr,11240716,58.942810,5.589101,http://gt.rkt.no/H11240716
11240717,Notvegen,11240717,58.943593,5.581641,http://gt.rkt.no/H11240717
11240718,Notvegen,11240718,58.943535,5.583001,http://gt.rkt.no/H11240718
11240719,Tareringen,11240719,58.942251,5.575771,http://gt.rkt.no/H11240719
11240720,Tareringen,11240720,58.942798,5.576456,http://gt.rkt.no/H11240720
11240721,Storevarden skole,11240721,58.938796,5.574223,http://gt.rkt.no/H11240721
11240722,Storevarden skole,11240722,58.938596,5.574126,http://gt.rkt.no/H11240722
11240723,Risnesbakken,11240723,58.938064,5.574815,http://gt.rkt.no/H11240723
11240724,Risnesbakken,11240724,58.937574,5.574623,http://gt.rkt.no/H11240724
11240725,Losvegen,11240725,58.936915,5.575498,http://gt.rkt.no/H11240725
11240726,Losvegen,11240726,58.936128,5.576183,http://gt.rkt.no/H11240726
11240727,Tananger havn,11240727,58.935151,5.579561,http://gt.rkt.no/H11240727
11240728,Tananger havn,11240728,58.934928,5.581518,http://gt.rkt.no/H11240728
11240729,Skibmannsvegen,11240729,58.934858,5.587748,http://gt.rkt.no/H11240729
11240730,Skibmannsvegen,11240730,58.934911,5.585833,http://gt.rkt.no/H11240730
11240731,Myrvegen,11240731,58.934946,5.590861,http://gt.rkt.no/H11240731
11240732,Myrvegen,11240732,58.934843,5.591548,http://gt.rkt.no/H11240732
11240733,Tananger kirke,11240733,58.935356,5.600313,http://gt.rkt.no/H11240733
11240734,Tananger kirke,11240734,58.935560,5.601280,http://gt.rkt.no/H11240734
11240735,Hagakrossen,11240735,58.935135,5.604773,http://gt.rkt.no/H11240735
11240736,Hagakrossen,11240736,58.935213,5.604951,http://gt.rkt.no/H11240736
11240738,Hagafeltet,11240738,58.933241,5.606198,http://gt.rkt.no/H11240738
11240739,Plattformvegen,11240739,58.933836,5.602586,http://gt.rkt.no/H11240739
11240740,Plattformvegen,11240740,58.934083,5.602605,http://gt.rkt.no/H11240740
11240741,Phillipsbasen,11240741,58.934116,5.595011,http://gt.rkt.no/H11240741
11240742,Phillipsbasen,11240742,58.934280,5.595388,http://gt.rkt.no/H11240742
11240743,Norscobasen,11240743,58.933972,5.587306,http://gt.rkt.no/H11240743
11240744,Norscobasen,11240744,58.934221,5.587194,http://gt.rkt.no/H11240744
