route_id,service_id,trip_id,trip_headsign,shape_id
3001,2,1057411,Strandgata terminal,120358
3001,2,1057419,Bleikemyr,120357
3001,2,1057412,Strandgata terminal,120358
3001,3,1057524,Bleikemyr,120357
3001,3,1057525,Strandgata terminal,120358
3001,3,1057527,Bleikemyr,120357
3001,3,1057518,Strandgata terminal,120358
3001,3,1057528,Bleikemyr,120357
3001,3,1057519,Strandgata terminal,120358
3001,3,1057529,Bleikemyr,120357
3001,3,1057520,Strandgata terminal,120358
3001,3,1057509,Bleikemyr,120357
3001,3,1057523,Strandgata terminal,120358
3001,3,1057521,Bleikemyr,120357
3001,3,1057511,Strandgata terminal,120358
3001,3,1057522,Bleikemyr,120357
3001,3,1057512,Strandgata terminal,120358
3001,3,1057530,Bleikemyr,120357
3001,3,1057513,Strandgata terminal,120358
3001,3,1057531,Bleikemyr,120357
3001,3,1057514,Strandgata terminal,120358
3001,3,1057510,Bleikemyr,120357
3001,3,1057505,Strandgata terminal,120358
3001,3,1057516,Bleikemyr,120357
3001,3,1057506,Strandgata terminal,120358
3001,3,1057517,Bleikemyr,120357
3001,3,1057507,Strandgata terminal,120358
3001,3,1057532,Bleikemyr,120357
3001,3,1057508,Strandgata terminal,120358
3001,3,1057526,Bleikemyr,120357
3001,3,1057515,Strandgata terminal,120358
3005,1,1057595,Bytunet,120359
3005,1,1057583,Bytunet,120360
3005,48,1057579,Bytunet,120361
3005,1,1057586,Bytunet,120359
3005,48,1057587,Skeisvang vgs.,120363
3005,1,1057597,Bytunet,120359
3005,1,1057598,Bytunet,120359
3005,1,1057599,Bytunet,120359
3005,1,1057606,Bytunet,120359
3005,1,1057580,Bytunet,120359
3005,1,1057596,Vormedal,120362
3005,1,1057601,Bytunet,120359
3005,1,1057602,Bytunet,120359
3005,1,1057603,Bytunet,120359
3005,1,1057604,Bytunet,120359
3005,1,1057581,Bytunet,120359
3005,1,1057582,Bytunet,120359
3005,1,1057574,Bytunet,120359
3005,1,1057589,Bytunet,120359
3005,1,1057590,Bytunet,120359
3005,1,1057605,Bytunet,120359
3005,1,1057575,Bytunet,120359
3005,1,1057576,Bytunet,120359
3005,1,1057577,Bytunet,120359
3005,1,1057578,Bytunet,120359
3005,1,1057584,Bytunet,120359
3005,1,1057585,Bytunet,120359
3005,1,1057600,Bytunet,120359
3005,1,1057588,Bytunet,120359
3005,1,1057591,Bytunet,120359
3005,1,1057592,Bytunet,120359
3005,1,1057593,Bytunet,120359
3005,1,1057594,Bytunet,120359
3005,2,1057544,Bytunet,120359
3005,2,1057549,Bytunet,120359
3005,2,1057541,Bytunet,120359
3005,2,1057540,Bytunet,120359
3005,2,1057548,Bytunet,120359
3005,2,1057542,Bytunet,120359
3005,2,1057543,Bytunet,120359
3005,2,1057550,Bytunet,120359
3005,2,1057551,Bytunet,120359
3005,2,1057552,Bytunet,120359
3005,2,1057538,Bytunet,120359
3005,2,1057533,Bytunet,120359
3005,2,1057534,Bytunet,120359
3005,2,1057535,Bytunet,120359
3005,2,1057536,Bytunet,120359
3005,2,1057537,Bytunet,120359
3005,2,1057539,Bytunet,120359
3005,2,1057545,Bytunet,120359
3005,2,1057546,Bytunet,120359
3005,2,1057547,Bytunet,120359
3005,3,1057645,Bytunet,120359
3005,3,1057649,Bytunet,120359
3005,3,1057638,Bytunet,120359
3005,3,1057639,Bytunet,120359
3005,3,1057643,Bytunet,120359
3005,3,1057644,Bytunet,120359
3005,3,1057640,Bytunet,120359
3005,3,1057641,Bytunet,120359
3005,3,1057642,Bytunet,120359
3005,3,1057648,Bytunet,120359
3005,3,1057646,Bytunet,120359
3005,3,1057647,Bytunet,120359
3005,1,1057622,Vormedal,120364
3005,1,1057623,Vormedal,120364
3005,1,1057624,Vormedal,120364
3005,1,1057625,Vormedal,120364
3005,1,1057626,Vormedal,120364
3005,1,1057627,Vormedal,120364
3005,1,1057628,Vormedal,120364
3005,1,1057607,Vormedal,120364
3005,1,1057608,Vormedal,120364
